nome_municipio,cd_municipio_ibge
agudo,4300109
ajuricaba,4300208
alecrim,4300307
alegrete,4300406
alpestre,4300505
alvorada,4300604
anta gorda,4300703
antônio prado,4300802
aratiba,4300901
arroio do meio,4301008
arroio dos ratos,4301107
arroio do tigre,4301206
arroio grande,4301305
arvorezinha,4301404
augusto pestana,4301503
bagé,4301602
barão de cotegipe,4301701
barracão,4301800
barra do ribeiro,4301909
barros cassal,4302006
bento gonçalves,4302105
boa vista do buricá,4302204
bom jesus,4302303
bom retiro do sul,4302402
bossoroca,4302501
braga,4302600
butiá,4302709
caçapava do sul,4302808
cacequi,4302907
cachoeira do sul,4303004
cachoeirinha,4303103
cacique doble,4303202
caibaté,4303301
caiçara,4303400
camaquã,4303509
cambará do sul,4303608
campina das missões,4303707
campinas do sul,4303806
campo bom,4303905
campo novo,4304002
candelária,4304200
cândido godói,4304309
canela,4304408
canguçu,4304507
canoas,4304606
carazinho,4304705
carlos barbosa,4304804
casca,4304903
catuípe,4305009
caxias do sul,4305108
cerro largo,4305207
chapada,4305306
chiapetta,4305405
ciríaco,4305504
colorado,4305603
condor,4305702
constantina,4305801
coronel bicaco,4305900
crissiumal,4306007
cruz alta,4306106
cruzeiro do sul,4306205
david canabarro,4306304
dois irmãos,4306403
dom feliciano,4306502
dom pedrito,4306601
dona francisca,4306700
encantado,4306809
encruzilhada do sul,4306908
erechim,4307005
herval,4307104
erval grande,4307203
erval seco,4307302
esmeralda,4307401
espumoso,4307500
estância velha,4307609
esteio,4307708
estrela,4307807
farroupilha,4307906
faxinal do soturno,4308003
feliz,4308102
flores da cunha,4308201
fontoura xavier,4308300
formigueiro,4308409
frederico westphalen,4308508
garibaldi,4308607
gaurama,4308706
general câmara,4308805
getúlio vargas,4308904
giruá,4309001
gramado,4309100
gravataí,4309209
guaíba,4309308
guaporé,4309407
guarani das missões,4309506
horizontina,4309605
humaitá,4309704
ibiaçá,4309803
ibiraiaras,4309902
ibirubá,4310009
igrejinha,4310108
ijuí,4310207
ilópolis,4310306
independência,4310405
iraí,4310504
itaqui,4310603
itatiba do sul,4310702
ivoti,4310801
jacutinga,4310900
jaguarão,4311007
jaguari,4311106
júlio de castilhos,4311205
lagoa vermelha,4311304
lajeado,4311403
lavras do sul,4311502
liberato salzano,4311601
machadinho,4311700
marau,4311809
marcelino ramos,4311908
mariano moro,4312005
mata,4312104
maximiliano de almeida,4312203
miraguaí,4312302
montenegro,4312401
mostardas,4312500
muçum,4312609
não-me-toque,4312658
nonoai,4312708
nova araçá,4312807
nova bassano,4312906
nova bréscia,4313003
nova palma,4313102
nova petrópolis,4313201
nova prata,4313300
novo hamburgo,4313409
osório,4313508
paim filho,4313607
palmeira das missões,4313706
palmitinho,4313805
panambi,4313904
paraí,4314001
passo fundo,4314100
pedro osório,4314209
pejuçara,4314308
pelotas,4314407
pinheiro machado,4314506
piratini,4314605
planalto,4314704
portão,4314803
porto alegre,4314902
porto lucena,4315008
porto xavier,4315107
putinga,4315206
quaraí,4315305
redentora,4315404
restinga seca,4315503
rio grande,4315602
rio pardo,4315701
roca sales,4315800
rodeio bonito,4315909
rolante,4316006
ronda alta,4316105
rondinha,4316204
roque gonzales,4316303
rosário do sul,4316402
salvador do sul,4316501
